,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title
0,1,0,3,male,22.0,1,0,A/5 21171,7.25,X,S,4
1,2,1,1,female,38.0,1,0,PC 17599,71.2833,C,C,2
2,3,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,X,S,3
3,4,1,1,female,35.0,1,0,113803,53.1,C,S,2
4,5,0,3,male,35.0,0,0,373450,8.05,X,S,4
5,6,0,3,male,26.507588932806325,0,0,330877,8.4583,X,Q,4
6,7,0,1,male,54.0,0,0,17463,51.8625,E,S,4
7,8,0,3,male,2.0,3,1,349909,21.075,X,S,1
8,9,1,3,female,27.0,0,2,347742,11.1333,X,S,2
9,10,1,2,female,14.0,1,0,237736,30.0708,X,C,2
10,11,1,3,female,4.0,1,1,PP 9549,16.7,G,S,3
11,12,1,1,female,58.0,0,0,113783,26.55,C,S,3
12,13,0,3,male,20.0,0,0,A/5. 2151,8.05,X,S,4
13,14,0,3,male,39.0,1,5,347082,31.275,X,S,4
14,15,0,3,female,14.0,0,0,350406,7.8542,X,S,3
15,16,1,2,female,55.0,0,0,248706,16.0,X,S,2
16,17,0,3,male,2.0,4,1,382652,29.125,X,Q,1
17,18,1,2,male,30.74070707070707,0,0,244373,13.0,X,S,4
18,19,0,3,female,31.0,1,0,345763,18.0,X,S,2
19,20,1,3,female,21.75,0,0,2649,7.225,X,C,2
20,21,0,2,male,35.0,0,0,239865,26.0,X,S,4
21,22,1,2,male,34.0,0,0,248698,13.0,D,S,4
22,23,1,3,female,15.0,0,0,330923,8.0292,X,Q,3
23,24,1,1,male,28.0,0,0,113788,35.5,A,S,4
24,25,0,3,female,8.0,3,1,349909,21.075,X,S,3
25,26,1,3,female,38.0,1,5,347077,31.3875,X,S,2
26,27,0,3,male,26.507588932806325,0,0,2631,7.225,X,C,4
27,28,0,1,male,19.0,3,2,19950,263.0,C,S,4
28,29,1,3,female,21.75,0,0,330959,7.8792,X,Q,3
29,30,0,3,male,26.507588932806325,0,0,349216,7.8958,X,S,4
30,31,0,1,male,40.0,0,0,PC 17601,27.7208,X,C,1
31,32,1,1,female,34.61176470588235,1,0,PC 17569,146.5208,B,C,2
32,33,1,3,female,21.75,0,0,335677,7.75,X,Q,3
33,34,0,2,male,66.0,0,0,C.A. 24579,10.5,X,S,4
34,35,0,1,male,28.0,1,0,PC 17604,82.1708,X,C,4
35,36,0,1,male,42.0,1,0,113789,52.0,X,S,4
36,37,1,3,male,26.507588932806325,0,0,2677,7.2292,X,C,4
37,38,0,3,male,21.0,0,0,A./5. 2152,8.05,X,S,4
38,39,0,3,female,18.0,2,0,345764,18.0,X,S,3
39,40,1,3,female,14.0,1,0,2651,11.2417,X,C,3
40,41,0,3,female,40.0,1,0,7546,9.475,X,S,2
41,42,0,2,female,27.0,1,0,11668,21.0,X,S,2
42,43,0,3,male,26.507588932806325,0,0,349253,7.8958,X,C,4
43,44,1,2,female,3.0,1,2,SC/Paris 2123,41.5792,X,C,3
44,45,1,3,female,19.0,0,0,330958,7.8792,X,Q,3
45,46,0,3,male,26.507588932806325,0,0,S.C./A.4. 23567,8.05,X,S,4
